"Alekhine Defense, Balogh Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4","B03","40.3%","35.5%","24.2%"
"Alekhine Defense, Brooklyn Variation"," 1.e4 Nf6 2.e5 Ng8","B02","28.2%","50.6%","21.3%"
"Alekhine Defense, Exchange Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6","B03","40.9%","30.6%","28.5%"
"Alekhine Defense, Four Pawns Attack"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4","B03","38.8%","37.4%","23.8%"
"Alekhine Defense, Four Pawns Attack, Fianchetto Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 g6","B03","36.9%","40.6%","22.4%"
"Alekhine Defense, Four Pawns Attack, Main Line"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Nc6 7.Be3","B03","41.4%","33.1%","25.5%"
"Alekhine Defense, Four Pawns Attack, Trifunovic Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 Bf5","B03","35.6%","40.3%","24.1%"
"Alekhine Defense, General"," 1.e4 Nf6","B02","40.9%","33.7%","25.4%"
"Alekhine Defense, Hunt Variation, Lasker Simul Gambit"," 1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 Nd5 5.Nc3 e6 6.Bc4","B02","34.6%","42.0%","23.4%"
"Alekhine Defense, Maroczy Variation"," 1.e4 Nf6 2.d3","B02","36.0%","37.5%","26.5%"
"Alekhine Defense, Modern Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3","B04","44.0%","24.3%","31.8%"
"Alekhine Defense, Modern Variation, Alburt Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6","B04","28.1%","41.2%","30.6%"
"Alekhine Defense, Modern Variation, Alekhine Gambit"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.c4 Nb6 6.Be2","B04","37.3%","40.2%","22.6%"
"Alekhine Defense, Modern Variation, Keres Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6 5.Bc4 Nb6 6.Bb3 Bg7 7.a4","B04","46.0%","18.0%","36.0%"
"Alekhine Defense, Modern Variation, Larsen Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5","B04","22.3%","41.7%","36.1%"
"Alekhine Defense, Modern Variation, Larsen Variation, Miles Line"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5 5.Nxe5 c6","B04","25.8%","37.9%","36.3%"
"Alekhine Defense, Modern Variation, Larsen-Haakert Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nc6","B04","31.9%","46.4%","21.8%"
"Alekhine Defense, Modern Variation, Main Line"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4","B05","24.9%","44.9%","30.2%"
"Alekhine Defense, Modern Variation, Panov Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.h3","B05","44.4%","33.3%","22.2%"
"Alekhine Defense, Modern Variation, Schmid Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nb6","B04","31.5%","33.0%","35.5%"
"Alekhine Defense, Normal Variation"," 1.e4 Nf6 2.e5 Nd5 3.d4 d6","B03","40.2%","31.9%","27.9%"
"Alekhine Defense, Normal Variation"," 1.e4 Nf6 2.e5 Nd5","B02","34.7%","39.5%","25.8%"
"Alekhine Defense, Saemisch Attack"," 1.e4 Nf6 2.e5 Nd5 3.Nc3","B02","36.6%","32.2%","31.2%"
"Alekhine Defense, Scandinavian Variation"," 1.e4 Nf6 2.Nc3 d5","B02","38.3%","32.6%","29.1%"
"Alekhine Defense, Spielmann Gambit"," 1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6","B02","39.4%","42.5%","18.1%"
"Alekhine Defense, Two Pawn Attack"," 1.e4 Nf6 2.e5 Nd5 3.c4","B02","35.1%","44.4%","20.5%"
"Alekhine Defense, Two Pawn Attack, Lasker Variation"," 1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5","B02","33.5%","36.0%","30.6%"
"Anderssen Opening, General"," 1.a3","A00","35.8%","38.7%","25.5%"
"Benko Gambit, Accepted, Central Storming Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.f4","A57","37.4%","40.5%","22.1%"
"Benko Gambit, Accepted, Dlugy Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.f3","A57","42.2%","32.8%","25.0%"
"Benko Gambit, Accepted, Fianchetto Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 g6 7.Nf3 d6 8.g3 Bg7 9.Bg2","A58","42.3%","27.9%","29.7%"
"Benko Gambit, Accepted, Fully Accepted Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6","A58","37.6%","31.9%","30.4%"
"Benko Gambit, Accepted, King Walk Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.g3 Bg7 10.Kg2 O-O 11.Nf3","A59","40.1%","25.2%","34.7%"
"Benko Gambit, Accepted, Modern Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.e3","A57","42.6%","28.8%","28.6%"
"Benko Gambit, Accepted, Pawn Return Variation"," 1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6","A57","39.4%","33.7%","26.9%"
